"","gene_short_name","P0","P4","P7","Ad"
"8179","Exoc7",22.0759,15.3686,14.7616,9.977385
"8180","Exoc8",6.87475,4.989385,4.56191,5.407315
"8181","Exog",0.957714,2.01548,1.709515,1.111295
"8182","Exosc1",9.332305,7.950805,6.077195,5.26573
"8183","Exosc10",23.68185,19.3338,15.0118,11.41405
"8184","Exosc2",6.194515,6.193095,4.905145,3.434895
"8185","Exosc3",8.092865,10.307015,8.989125,8.9161
"8186","Exosc4",12.1914,12.5484,10.68065,8.522865
"8187","Exosc5",5.50728,5.51096,6.333135,4.256215
"8188","Exosc7",12.1926,13.55465,9.81745,11.3587
"8189","Exosc8",17.6253,16.88775,12.3291,8.205505
"8190","Exosc9",18.3027,12.6818,13.58945,10.4051
"8191","Exph5",0.2555869,0.131639,0.1375135,0.0259135
"8192","Expi",0.3311505,0.156645,0,0
"8193","Ext1",22.7191,21.24765,18.9965,11.9238
"8194","Ext2",17.99955,18.3238,17.6469,14.7461
"8195","Extl1",5.01439,5.288925,7.12883,16.8009
"8196","Extl2",10.33064,8.275095,7.456455,6.443285
"8197","Extl3",28.46385,22.809,18.91485,12.4069
"8198","Eya1",0.09905485,0.258707,0.1862305,0.1767345
"8199","Eya2",1.332247,1.74193,1.0278815,0.696673
"8200","Eya3",17.0921,16.44835,14.1875,9.103575
"8201","Eya4",0.170179,0.2351875,0.161834,0.1242969
"8202","Ezh1",7.063285,8.609465,8.02255,9.07266
"8203","Ezh2",16.96445,19.50895,14.42775,2.386795
"8204","Ezr",58.9596,45.1114,36.91575,18.2554
"8205","F10",0.20235,0.0394727,0.09763725,0.182076
"8206","F11",0,0,0,0
"8207","F11r",22.24245,25.3389,25.55135,19.12935
"8208","F12",0,0,0,0
"8209","F13a1",3.350565,3.685165,4.41568,12.91745
"8210","F13b",0,0,0,0
"8211","F2",0.011805545,0.0127119,0.01128615,0
"8212","F2r",33.5435,30.34405,22.21135,13.58805
"8213","F2rl1",0.326887,0.8525315,0.4434735,0.4327625
"8214","F2rl2",0.0704814,0.01578315,0,0.04250065
"8215","F2rl3",1.483635,1.69023,0.8398155,0.39821
"8216","F3",3.78223,4.541815,5.50822,9.79625
"8217","F420014N23Rik",0.436962,0.329206,0.357424,0.1478235
"8218","F5",0.0395472,0.0462129,0.02883135,0.1112444
"8219","F630040L22Rik",0.01205607,0.0323999,0.0112625,0
"8220","F630043A04Rik",3.15217,3.95915,1.853375,0.11166595
"8221","F630111L10Rik",0.1172511,0.199254,0.2483905,0.06292325
"8222","F630206G17Rik",0,0.04245265,0,0.16946705
"8223","F7",0.1061929,0.02455835,0.04819655,0.09733075
"8224","F730016J06Rik",0,0.00559345,0.0163668,0
"8225","F730035M05Rik",0.264883,0.0613155,0.0585129,0.0182265
"8226","F730035P03Rik",0,0,0,0
"8227","F730043M19Rik",1.8528585,0.5710055,0.6292735,0.337056
"8228","F730048M01Rik",13.20635,9.347825,7.246065,16.0623
"8229","F8",0.923222,0.641798,0.6012625,0.64074
"8230","F830001A07Rik",0,0.0865555,0,0.167219
"8231","F830016B08Rik",0.226562,0.2457035,0.5529985,4.91122
"8232","F830016D02Rik",0,0,0,0.0129047
"8233","F830045P16Rik",0,0.0123153,0.0187288,0.0135841
"8234","F830104G03Rik",0.522325,0.0761755,0.10516,0.140124
"8235","F830208F22Rik",0.069819,0,0,0.0190801
"8236","F8a",4.092535,4.71688,4.34944,3.76644
"8237","F9",0.0763405,0,0,0
"8238","F930015N05Rik",0,0.119944,0,0.0397931
"8239","F930017D23Rik",0.07056425,0.0670165,0.14824385,0.0156164
"8240","Fa2h",0.0204545,0.01345415,0.02807255,0.04207455
"8241","Faah",0.8543185,0.3892775,0.271467,0.177516
"8242","Fabp1",0,0.043415,0,0
"8243","Fabp12",0.203139,0.6245605,0.197589,0.08666725
"8244","Fabp2",0.03561025,0,0,0
"8245","Fabp3",1026.1105,1693.125,1650.46,1465.48
"8246","Fabp3-ps1",196.521,408.4235,439.547,585.665
"8247","Fabp4",437.251,621.288,548.004,429.439
"8248","Fabp5",47.07965,45.06815,28.0362,11.28415
"8249","Fabp5l2",0.0925378,0,0.0925405,0
"8250","Fabp6",0,0,0.0765285,0
"8251","Fabp7",3.14659,2.96172,2.34992,0.1606635
"8252","Fabp9",0,0.0412266,0,0
"8253","Fadd",5.86088,6.805235,4.873905,3.30669
"8254","Fads1",13.5826,16.7215,10.9561,4.53127
"8255","Fads2",6.29985,8.61252,5.71425,2.25482
"8256","Fads3",25.0405,29.11735,18.7318,16.15515
"8257","Fads6",0.618491,0.4327115,0.400624,0.513901
"8258","Faf1",26.4996,20.83165,17.39615,24.2247
"8259","Faf2",10.139495,9.46977,7.722345,5.293125
"8260","Fah",2.80601,4.251725,5.360685,23.22285
"8261","Fahd1",36.15905,35.70275,29.1241,46.4468
"8262","Fahd2a",10.3264,11.06115,11.08745,17.89915
"8263","Faim",7.194605,7.38248,6.64561,4.11916
"8264","Faim2",0.008220575,0.00583135,0.0077988,0.01554765
"8265","Faim3",0,0.01614655,0.1291254,0.08749175
"8266","Fam100a",8.37225,7.83535,8.01981,7.918
"8267","Fam100b",19.94975,18.35435,14.729,8.88009
"8268","Fam101a",0.206656,0.155576,0.2589045,0.01370405
"8269","Fam101b",16.40615,28.88485,39.29915,17.8698
"8270","Fam102a",8.710655,5.20818,5.123545,2.962325
"8271","Fam102b",6.4434,9.535395,7.783115,4.359165
"8272","Fam103a1",7.766805,9.505825,8.390105,6.34591
"8273","Fam105a",0.682593,0.6011975,0.6094465,0.608167
"8274","Fam105b",11.5087,12.08165,10.021885,9.10011
"8275","Fam107a",0.7729555,0.5833125,0.6024425,3.398075
"8276","Fam107b",23.891665,9.378175,5.93245,2.47743
"8277","Fam108a",35.39315,41.82425,37.70145,18.92105
"8278","Fam108b",10.21693,11.7972,10.79475,6.867335
"8279","Fam108c",39.115,37.46935,28.78635,20.36625
"8280","Fam109a",6.661115,6.84187,6.45209,5.832645
"8281","Fam110a",2.35487,2.961395,2.83863,2.015265
"8282","Fam110b",10.088245,4.327355,3.99597,2.12601
"8283","Fam110c",0.211953,0.1203904,0.05164655,0.0363087
"8284","Fam111a",6.824685,12.51205,7.65156,2.797075
"8285","Fam113a",3.866095,3.62849,2.56057,2.036325
"8286","Fam113b",1.3814555,1.290585,1.6189,1.046866
"8287","Fam114a1",8.323425,9.87384,7.9227,3.87864
"8288","Fam114a2",22.19705,18.711,16.8645,10.33735
"8289","Fam115a",14.42185,12.63745,9.50894,2.934275
"8290","Fam115c",1.024682,2.00972,1.458535,0.6567205
"8291","Fam115e",0,0,0,0
"8292","Fam116a",8.517655,9.97954,8.766195,4.451375
"8293","Fam116b",3.721825,2.529295,2.146845,1.977125
"8294","Fam117a",2.60788,2.109885,2.57429,1.202222
"8295","Fam117b",5.57983,6.28955,6.640005,8.27473
"8296","Fam118a",4.383165,5.819635,3.881415,2.861715
"8297","Fam118b",7.81503,8.17631,7.879475,5.81362
"8298","Fam119b",0.361767,0.215855,0.220925,0.0828021
"8299","Fam120a",43.81145,47.5341,36.6278,42.766
"8300","Fam120b",4.89757,5.158215,4.555795,4.851545
"8301","Fam120c",3.739165,4.00931,3.488845,3.46664
"8302","Fam122a",12.8192,11.5344,11.1192,10.221075
"8303","Fam122b",11.86085,11.0931,7.479325,3.22948
"8304","Fam122c",0,0,0,0
"8305","Fam123a",0.02360865,0.00859125,0.0106702,0
"8306","Fam123b",2.670915,2.74999,2.301555,1.198805
"8307","Fam123c",0,0,0,0
"8308","Fam124a",1.543565,1.848085,1.27978,1.607655
"8309","Fam124b",1.43721,2.34969,2.218975,0.2063865
"8310","Fam125a",10.89541,10.3666,11.32395,9.862455
"8311","Fam125b",8.908035,7.25432,6.853885,6.362195
"8312","Fam126a",26.0264,26.08855,23.55575,14.4942
"8313","Fam126b",2.40105,2.886545,3.448065,3.325
"8314","Fam129a",5.733225,4.44771,6.51693,3.445405
"8315","Fam129b",19.7327,16.00135,13.86145,6.83514
"8316","Fam131a",11.73225,4.656235,8.30787,12.80375
"8317","Fam131b",0.5301435,0.5374295,0.4609435,0.347048
"8318","Fam131c",0.0504155,0.1791865,0.1645621,2.232535
"8319","Fam132a",4.683595,4.009835,5.89013,5.685595
"8320","Fam132b",0.4417415,0.2115935,0.2590365,0.03654705
"8321","Fam133b",12.44805,9.842075,9.430495,4.885215
"8322","Fam134a",13.17275,11.4066,9.56336,6.599695
"8323","Fam134b",58.79905,49.37515,39.54715,40.08265
"8324","Fam134c",16.9501,15.912,15.0526,10.938475
"8325","Fam135a",12.02415,10.94965,9.06045,6.02703
"8326","Fam135b",0,0,0.0073056,0
"8327","Fam136a",14.93785,15.6212,13.9594,16.5764
"8328","Fam136b-ps",0.10960795,0,0.1895505,0.088407
"8329","Fam13a",3.19211,3.119915,3.545015,4.40151
"8330","Fam13b",10.52217,9.830695,8.39797,3.931595
"8331","Fam13c",2.114165,2.414085,2.621205,1.0635665
"8332","Fam149a",1.309835,1.88788,1.61656,1.30404
"8333","Fam149b",13.882,12.972,11.1835,11.29365
"8334","Fam150a",0,0,0,0
"8335","Fam150b",0.14599795,0,0.09591825,0.2618565
"8336","Fam151a",0,0.01218675,0,0.0127734
"8337","Fam151b",1.3745545,1.3724145,1.561465,0.861561
"8338","Fam154a",0,0,0,0.0157759
"8339","Fam154b",0.7753855,1.143595,0.739566,0.834948
"8340","Fam155a",0.2599775,0.0263711,0,0
"8341","Fam158a",22.66385,19.8561,19.44485,27.7636
"8342","Fam159a",0.4713615,0.60351,0.1716975,0
"8343","Fam159b",0,0,0,0
"8344","Fam160a1",6.83244,8.263905,8.598165,18.1801
"8345","Fam160a2",9.109935,8.909715,9.94703,6.066745
"8346","Fam160b1",8.85901,8.896825,7.260475,4.06358
"8347","Fam160b2",9.54714,8.410795,8.23106,7.480515
"8348","Fam161a",0.544551,0.738961,1.130745,0.7100205
"8349","Fam161b",4.554875,4.437375,2.91308,3.838945
"8350","Fam162a",125.316,120.8205,94.78165,116.791
"8351","Fam162b",0,0,0,0
"8352","Fam163a",0.216611,0.0144959,0.01948785,0
"8353","Fam163b",0.3331265,0.313257,0.316704,0.427685
"8354","Fam164a",6.787305,6.05503,5.40541,3.662265
"8355","Fam164b",0,0,0,0
"8356","Fam164c",0.40701,0.433024,0.330372,0.6953315
"8357","Fam165b",43.70335,34.7755,38.87635,64.8893
"8358","Fam166a",0,0,0.0291794,0.02345305
"8359","Fam166b",1.90354,0.1694015,0.11606125,0.2082665
"8360","Fam167a",0.25121,0.500057,0.299295,0.197715
"8361","Fam167b",1.1543235,0.549005,0.358209,0.1315165
"8362","Fam168a",21.1951,16.0887,13.10715,11.0398
"8363","Fam168b",32.56765,28.93475,24.0318,15.4208
"8364","Fam169a",1.55278,0.940434,0.468564,0.1780615
"8365","Fam169b",0.08336355,0.166242,0.05120935,0.0359844
"8366","Fam170a",0,0,0,0
"8367","Fam170b",0.0306112,0.04919475,0.06966025,0.0101304
"8368","Fam171a1",12.59475,13.41515,11.3405,5.25751
"8369","Fam171a2",9.70761,11.4685,8.706485,1.40086
"8370","Fam171b",0.807158,0.7488865,1.2447875,0.9305805
"8371","Fam172a",16.9538,8.94335,8.71879,4.6651
"8372","Fam173a",19.9243,17.7907,15.1122,17.5228
"8373","Fam173b",7.172845,8.02586,6.84844,8.3925
"8374","Fam174a",8.689895,11.4026,14.49865,17.9736
